ger,pior,Medio,melhor,dev.padr,ilha
51,1.86743,1.86743,1.86743,6.94812e-18,ilha_0
51,1.86743,1.86743,1.86743,8.27919e-13,ilha_1
51,-1.78617,1.68117,1.86743,0.633004,ilha_2
51,1.56683,1.85239,1.86743,0.00429177,ilha_3
51,1.85157,1.86584,1.86743,2.26264e-05,ilha_4
51,1.5531,1.85171,1.86743,0.0046932,ilha_5
52,1.56698,1.85241,1.86743,0.0042879,ilha_0
52,1.55338,1.81729,1.86743,0.0117229,ilha_1
52,1.55338,1.85173,1.86743,0.00468479,ilha_2
52,-1.78553,1.52164,1.86743,1.07997,ilha_3
52,1.86743,1.86743,1.86743,1.49602e-12,ilha_4
52,-0.0368749,1.75718,1.86743,0.173674,ilha_5
53,-1.78549,1.65404,1.86743,0.631106,ilha_0
53,-1.78553,1.68463,1.86743,0.633791,ilha_1
53,-0.0342504,1.77234,1.86743,0.171778,ilha_2
53,-1.39549,1.68858,1.86743,0.505279,ilha_3
53,-1.78553,1.68478,1.86743,0.633845,ilha_4
53,-1.39511,1.5934,1.86743,0.643356,ilha_5
54,-1.3953,1.70069,1.86743,0.504726,ilha_0
54,1.86743,1.86743,1.86743,3.19476e-17,ilha_1
54,-0.0342504,1.77235,1.86743,0.171779,ilha_2
54,1.56905,1.85247,1.86743,0.00422784,ilha_3
54,1.86743,1.86743,1.86743,8.27163e-13,ilha_4
54,1.79591,1.86383,1.86743,0.000242815,ilha_5
55,1.86738,1.86743,1.86743,1.08783e-10,ilha_0
55,1.86743,1.86743,1.86743,1.49393e-12,ilha_1
55,1.79576,1.86384,1.86743,0.000243888,ilha_2
55,-0.0342504,1.77227,1.86743,0.171765,ilha_3
55,-0.0342504,1.75585,1.86743,0.173313,ilha_4
55,-0.0342504,1.77235,1.86743,0.171779,ilha_5
56,-1.78496,1.68479,1.86743,0.633639,ilha_0
56,-1.78553,1.52084,1.86743,1.07943,ilha_1
56,1.8644,1.8671,1.86743,8.17866e-07,ilha_2
56,1.85157,1.86663,1.86743,1.19262e-05,ilha_3
56,-0.0342504,1.76862,1.86743,0.171313,ilha_4
56,-1.78553,1.6539,1.86743,0.63106,ilha_5
57,1.55338,1.85173,1.86743,0.00468479,ilha_0
57,1.85157,1.86585,1.86743,2.26282e-05,ilha_1
57,-1.39549,1.70426,1.86743,0.505709,ilha_2
57,1.86743,1.86743,1.86743,4.43734e-31,ilha_3
57,1.79576,1.86026,1.86743,0.000462259,ilha_4
57,-1.78553,1.50982,1.86743,1.05151,ilha_5
58,1.79576,1.86385,1.86743,0.000243972,ilha_0
58,1.8644,1.86728,1.86743,4.3683e-07,ilha_1
58,1.85098,1.86661,1.86743,1.28612e-05,ilha_2
58,1.55338,1.85173,1.86743,0.00468478,ilha_3
58,1.55338,1.84799,1.86743,0.00481082,ilha_4
58,-1.78553,1.68478,1.86743,0.633846,ilha_5
59,-0.0342504,1.7722,1.86743,0.17175,ilha_0
59,1.56683,1.8524,1.86743,0.00429213,ilha_1
59,-1.39549,1.33526,1.86743,1.14803,ilha_2
59,-1.39549,1.70334,1.86743,0.505421,ilha_3
59,1.55338,1.85169,1.86743,0.00468359,ilha_4
59,1.55338,1.85173,1.86743,0.00468479,ilha_5
60,-1.39549,1.52463,1.86743,0.951171,ilha_0
60,-1.78553,1.66906,1.86743,0.632787,ilha_1
60,1.86743,1.86743,1.86743,1.08652e-15,ilha_2
60,1.55338,1.85077,1.86743,0.00466677,ilha_3
60,1.79576,1.8637,1.86743,0.000243322,ilha_4
60,-1.78553,1.68461,1.86743,0.633784,ilha_5
61,1.79576,1.8637,1.86743,0.000243322,ilha_0
61,1.86704,1.86737,1.86743,1.92184e-08,ilha_1
61,1.56683,1.85239,1.86743,0.00429169,ilha_2
61,-0.0342504,1.75663,1.86743,0.173475,ilha_3
61,1.85157,1.86581,1.86743,2.25186e-05,ilha_4
61,-1.39549,1.54114,1.86743,0.958201,ilha_5
62,-1.78553,1.47875,1.86743,0.943041,ilha_0
62,1.86704,1.86741,1.86743,7.1581e-09,ilha_1
62,-1.39549,1.70428,1.86743,0.505717,ilha_2
62,1.86743,1.86743,1.86743,4.43734e-31,ilha_3
62,1.55338,1.83309,1.86743,0.00852696,ilha_4
62,1.56683,1.8524,1.86743,0.00429213,ilha_5
63,-0.351057,1.73786,1.86743,0.234071,ilha_0
63,-1.39549,1.51411,1.86743,0.769171,ilha_1
63,-0.481406,1.74997,1.86743,0.262055,ilha_2
63,-0.0342504,1.77233,1.86743,0.171775,ilha_3
63,-1.78542,1.68462,1.86743,0.633747,ilha_4
63,1.54988,1.85155,1.86743,0.00478994,ilha_5
64,1.86719,1.86742,1.86743,2.85238e-09,ilha_0
64,-0.0342504,1.74161,1.86743,0.174439,ilha_1
64,1.86743,1.86743,1.86743,4.43734e-31,ilha_2
64,1.56683,1.85159,1.86743,0.00427963,ilha_3
64,1.8644,1.86727,1.86743,4.35954e-07,ilha_4
64,-1.39549,1.70426,1.86743,0.505709,ilha_5
65,-1.78553,1.6812,1.86743,0.632781,ilha_0
65,1.56683,1.85237,1.86743,0.00429119,ilha_1
65,1.86743,1.86743,1.86743,8.27919e-13,ilha_2
65,1.86704,1.86741,1.86743,7.15939e-09,ilha_3
65,-1.39549,1.68925,1.86743,0.505105,ilha_4
65,1.85168,1.86647,1.86743,1.19545e-05,ilha_5
66,-1.78549,1.58612,1.86743,0.769131,ilha_0
